filename            , member, phrase          , augmentation, mfcc_0_mean        , mfcc_0_std         , mfcc_1_mean        , mfcc_1_std        , mfcc_2_mean        , mfcc_2_std        , mfcc_3_mean         , mfcc_3_std        , mfcc_4_mean         , mfcc_4_std        , mfcc_5_mean        , mfcc_5_std         , mfcc_6_mean        , mfcc_6_std        , mfcc_7_mean        , mfcc_7_std        , mfcc_8_mean          , mfcc_8_std        , mfcc_9_mean         , mfcc_9_std         , mfcc_10_mean         , mfcc_10_std        , mfcc_11_mean        , mfcc_11_std        , mfcc_12_mean       , mfcc_12_std        , spectral_rolloff_mean, spectral_rolloff_std, energy              , energy_std           , zcr_mean           , zcr_std             , spectral_centroid_mean, spectral_centroid_std
approve - elissa.wav,       , approve - elissa, original    , -409.8414001464844 , 103.87737274169922 , 121.611083984375   , 88.78223419189453 , -4.006531238555908 , 32.03208923339844 , 53.40266036987305   , 47.417293548583984, -2.241055488586426  , 33.37818145751953 , 4.72263765335083   , 32.69125747680664  , -15.857666969299316, 26.807941436767578, -6.6463422775268555, 11.234050750732422, -2.201781988143921   , 10.921316146850586, -10.737345695495605 , 12.99396800994873  , -14.076018333435059  , 15.084274291992188 , -0.2589111626148224 ,  9.840964317321777 , 0.4532066583633423 ,  7.415963172912598 ,    3035.2028586647725,   1897.9806277766206,  47.28751754760742  , 0.046345118433237076 , 0.1322021484375    , 0.14215714095295834 ,     1861.5966091571843,    1513.1122233204558
approve - elissa.wav,       , approve - elissa, pitch_shift , -411.5767517089844 ,  93.73831939697266 , 114.86605834960938 , 90.00020599365234 , 0.15938767790794373, 33.34174728393555 , 43.53879928588867   , 38.76698303222656 , -16.117433547973633 , 27.920698165893555, -3.4752283096313477, 20.836584091186523 , -22.042390823364258, 29.380943298339844, 1.8461995124816895 , 22.428878784179688, -12.918079376220703  , 17.995750427246094, -13.155266761779785 , 12.686708450317383 , -3.982139825820923   , 10.970433235168457 , 3.114269495010376   ,  7.64496374130249  , -12.819133758544922, 10.4629545211792   ,    3551.2656471946025,   2277.57518596375  ,  25.664573669433594 , 0.034142687916755676 , 0.16642622514204544, 0.17764386453555817 ,     2187.8693823558474,    1831.5485398073065
approve - elissa.wav,       , approve - elissa, time_stretch, -415.1260986328125 ,  85.41240692138672 , 133.0562286376953  , 84.118896484375   , -6.713903903961182 , 24.705556869506836, 53.846195220947266  , 48.02998352050781 , -3.6000049114227295 , 32.13600158691406 , 4.3301005363464355 , 30.758445739746094 , -18.148040771484375, 27.178972244262695, -6.705811023712158 , 10.134771347045898, -1.454390525817871   , 10.51358413696289 , -11.5338134765625   , 13.677369117736816 , -15.218606948852539  , 14.055194854736328 , -1.454817771911621  ,  9.894556999206543 , -0.6657152771949768,  6.428232669830322 ,    2913.2157175164475,   1858.4191589618645,  22.469026565551758 , 0.03425907343626022  , 0.13724557976973684, 0.1479867609057234  ,     1777.210992509268 ,    1543.4413606984072
approve - elissa.wav,       , approve - elissa, add_noise   , -290.7632446360312 ,  55.069250333732704,  52.34593749441872 , 54.885743797285194, 22.176345072606008 , 21.580413773134886, 22.60172725139606   , 24.371783600194185, 1.579064989568803   , 19.53991309360695 , 2.149718712018228  , 18.530045474888276 , -8.034435844281296 , 11.55515771433341 , -5.434145375332267 ,  8.485710232995434, -1.1955778459428879  ,  8.597301335830196, -10.902632979534012 , 10.953795003206839 , -9.089918978668226   , 11.53267310713236  , -4.100028578562377  ,  7.826970567694275 , -2.067433679903356 ,  5.286320009033192 ,    6361.103959517045 ,   2432.5018054603447,  47.55173639744803  , 0.04647441452648894  , 0.25068803267045453, 0.17608275534605072 ,     3421.883239321963 ,    1600.1276426569177
approve - elissa.wav,       , approve - elissa, gain        , -394.4035949707031 , 103.87737274169922 , 121.61107635498047 , 88.7822265625     , -4.006528377532959 , 32.03208541870117 , 53.40266036987305   , 47.417293548583984, -2.241054058074951  , 33.378177642822266, 4.7226362228393555 , 32.69125747680664  , -15.857665061950684, 26.807941436767578, -6.6463398933410645, 11.234049797058105, -2.201784372329712   , 10.921316146850586, -10.737345695495605 , 12.99396800994873  , -14.076016426086426  , 15.084274291992188 , -0.25891220569610596,  9.840963363647461 , 0.4532066583633423 ,  7.415962219238281 ,    3035.2028586647725,   1897.9806277766206,  64.743896484375    , 0.05422881618142128  , 0.1322021484375    , 0.14215714095295834 ,     1861.5966079211007,    1513.1122260746251
approve - terry.wav ,       , approve - terry , original    , -265.3069152832031 ,  64.16692352294922 , 144.6106719970703  , 53.46940612792969 , 12.2863187789917   , 27.429977416992188, 35.528438568115234  , 34.015079498291016, 2.4915456771850586  , 23.434444427490234, 10.25822639465332  , 18.94443702697754  , -19.476898193359375, 16.08078956604004 , 1.143034815788269  , 12.43752670288086 , -7.078649520874023   , 11.462968826293945, -18.817951202392578 , 10.577839851379395 , -9.105864524841309   , 10.908592224121094 , -11.719756126403809 ,  9.33625602722168  , 0.34453991055488586,  7.903348445892334 ,    2243.960074491279 ,   1975.3505083726068, 385.1751403808594   , 0.133834108710289    , 0.07398028706395349, 0.0964169738455814  ,     1286.573392112305 ,    1167.705159502971
approve - terry.wav ,       , approve - terry , pitch_shift , -272.5002136230469 ,  48.35275650024414 , 132.79930114746094 , 52.098758697509766, 14.627784729003906 , 23.046823501586914, 24.48731803894043   , 31.876192092895508, -1.8117958307266235 , 15.82863998413086 , -2.103673219680786 , 18.08586883544922  , -21.635107040405273, 18.61668586730957 , 3.1067118644714355 , 14.980329513549805, -26.251405715942383  , 12.651264190673828, -11.740008354187012 , 12.905233383178711 , -9.519370079040527   , 10.401461601257324 , -3.398834228515625  ,  7.371495723724365 , -10.061027526855469,  7.172954082489014 ,    2801.3194949127906,   2318.845020098079 , 251.71046447753906  , 0.10819073766469955  , 0.08133857194767442, 0.09491895389846652 ,     1534.7432531753018,    1306.524287531618
approve - terry.wav ,       , approve - terry , time_stretch, -279.1557312011719 ,  48.72441101074219 , 143.06874084472656 , 47.30636215209961 , 13.85064697265625  , 18.89242935180664 , 34.76729965209961   , 35.152923583984375, 1.7407814264297485  , 21.63629913330078 , 13.039291381835938 , 17.43938446044922  , -20.488935470581055, 16.933622360229492, 0.1533663272857666 , 10.926582336425781, -6.561161518096924   ,  9.022075653076172, -19.985628128051758 ,  9.91911792755127  , -8.889267921447754   , 11.241605758666992 , -11.418893814086914 ,  9.556072235107422 , 1.4158638715744019 ,  7.2806077003479   ,    2373.8901499155404,   1944.2177599351646, 262.69134521484375  , 0.11852589249610901  , 0.06684174408783784, 0.07341940691784508 ,     1269.819676346561 ,    1043.6001220395558
approve - terry.wav ,       , approve - terry , add_noise   , -222.32837989034485,  42.27619384522366 , 102.74501673157681 , 38.69548509834333 , 29.991517926264706 , 19.604511526341373, 26.347618648866412  , 26.465509167931785, 6.953385234672385   , 21.988777110193688, 6.540752664137682  , 14.532095726711082 , -13.913736049643553, 14.006951443921507, -3.0159412320462122, 11.07770491997357 , -5.331612300352353   , 11.68730794136282 , -17.54785019741115  ,  9.51594147515106  , -11.63718461644076   , 12.09956748015848  , -8.941896722533933  ,  8.473309858046015 , -2.1256777145889387,  7.872646114206829 ,    3664.6507085755816,   2254.4178917496765, 385.3581145999975   , 0.13386593442640116  , 0.08522211119186046, 0.0947811783468322  ,     1917.2646698139165,    1101.5674364193608
approve - terry.wav ,       , approve - terry , gain        , -255.5491180419922 ,  64.16692352294922 , 144.6106719970703  , 53.46940612792969 , 12.286322593688965 , 27.429977416992188, 35.5284309387207    , 34.01507568359375 , 2.4915456771850586  , 23.434444427490234, 10.25822639465332  , 18.94443702697754  , -19.476896286010742, 16.08078956604004 , 1.1430354118347168 , 12.437528610229492, -7.078649520874023   , 11.462968826293945, -18.817949295043945 , 10.577838897705078 , -9.105864524841309   , 10.908591270446777 , -11.719756126403809 ,  9.336255073547363 , 0.3445388972759247 ,  7.903347492218018 ,    2243.960074491279 ,   1975.3505083726068, 469.7922668457031   , 0.14780551195144653  , 0.07398028706395349, 0.0964169738455814  ,     1286.5733933176675,    1167.7051615382609
